target,sampwt,trainFlg,appAge,appResidence,appTimeAddress,appIncome,appOcc,appFinanceCo,appChkSv,dealNewUsed,dealLoanToVal,cbFICO,cbTimeFile,cbMosAvg,cbUtilizn,cb90Ever,cbPctGood,cbMosDlq,cbInq5Mos,cbMosInq,Date_Opened
0,28.34083432,1,24,H,24,3052,y,_,2,N,90.40000057,672,304,-99000784,68,0,100,-99000576,2,0,Fri Jul 28 15:00:00 CST 2006
0,28.34083432,1,37,R,8,2000,p,N,2,N,88.5,709,1106,-99000784,83,0,67,24,1,0,Sat Aug 05 15:00:00 CST 2006
0,28.34083432,2,42,H,12,2956,y,F,3,N,87.70000076,701,1809,-99000784,72,0,88,64,1,1,Wed Mar 07 16:00:00 CST 2007
0,28.34083432,1,45,H,2,55000,g,F,3,N,90,0,1001,-99000784,-99000672,0,-99000712,-99000576,0,-99000672,Tue Apr 24 15:00:00 CST 2007
0,28.34083432,1,42,H,5,4166,k,_,3,N,83.90000916,682,1509,8,48,0,85,22,1,0,Tue May 15 15:00:00 CST 2007
0,48.67778226,1,45,H,3,2667,f,F,3,N,100,665,909,12,67,1,75,15,0,-99000672,Thu Oct 19 15:00:00 CST 2006
0,28.34083432,1,42,R,2,6500,r,M,2,N,90.10000038,626,1006,-99000784,91,0,91,-99000712,1,0,Sat Oct 28 15:00:00 CST 2006
0,28.34083432,1,44,H,11,2800,f,N,3,N,86.10000038,676,2000,14,17,1,63,5,0,-99000672,Sat Jul 22 15:00:00 CST 2006
0,28.34083432,1,29,R,0,2219,e,N,3,N,80.30000305,654,606,-99000784,54,1,95,27,1,0,Wed Feb 21 16:00:00 CST 2007
0,28.34083432,1,72,H,27,1379,b,N,3,N,81.6000061,782,3603,5,19,0,91,70,0,-99000672,Wed Mar 21 15:00:00 CST 2007
0,49.68752132,2,21,R,0,1650,y,M,2,N,49.5,728,109,-99000784,0,0,100,-99000576,4,0,Thu May 17 15:00:00 CST 2007
0,28.34083432,1,62,R,10,2000,g,F,3,N,62.30000305,759,3401,3,33,0,100,-99000576,1,0,Sun Jun 10 15:00:00 CST 2007
0,49.06263762,1,35,H,5,4583,b,N,2,N,100,558,8707,3,59,1,58,1,0,-99000672,Mon Sep 04 15:00:00 CST 2006
0,28.34083432,1,-99000792,R,2,2550,y,N,0,N,64.20001221,635,501,7,15,1,89,1,0,-99000672,Wed Aug 09 15:00:00 CST 2006
0,28.34083432,2,40,M,1,7500,f,_,3,N,47.1000061,705,1503,-99000784,74,0,100,-99000576,0,-99000672,Thu Feb 08 16:00:00 CST 2007
